,viscosity coefficient,dielectric constant,molecular weight,dipole moment,HOMO energy,LUMO energy,HOMO/LUMO gap,Optimal Content,Optimal Ionic Conductivity,R2_LOOCV,RMSE_LOOCV
viscosity coefficient,1.0,0.3333333333333334,0.6666666666666669,0.18257418583505539,-0.3333333333333334,0.0,0.0,-0.3333333333333334,0.0,0.0,0.0
dielectric constant,0.3333333333333334,1.0,0.0,0.5477225575051662,0.3333333333333334,0.6666666666666669,0.0,0.3333333333333334,0.6666666666666669,0.6666666666666669,0.6666666666666669
molecular weight,0.6666666666666669,0.0,1.0,-0.18257418583505539,-0.6666666666666669,-0.3333333333333334,0.3333333333333334,-0.6666666666666669,-0.3333333333333334,-0.3333333333333334,-0.3333333333333334
dipole moment,0.18257418583505539,0.5477225575051662,-0.18257418583505539,1.0,0.5477225575051662,0.18257418583505539,-0.5477225575051662,-0.18257418583505539,0.18257418583505539,0.18257418583505539,0.912870929175277
HOMO energy,-0.3333333333333334,0.3333333333333334,-0.6666666666666669,0.5477225575051662,1.0,0.0,-0.6666666666666669,0.3333333333333334,0.0,0.0,0.6666666666666669
LUMO energy,0.0,0.6666666666666669,-0.3333333333333334,0.18257418583505539,0.0,1.0,0.3333333333333334,0.6666666666666669,1.0,1.0,0.3333333333333334
HOMO/LUMO gap,0.0,0.0,0.3333333333333334,-0.5477225575051662,-0.6666666666666669,0.3333333333333334,1.0,0.0,0.3333333333333334,0.3333333333333334,-0.3333333333333334
Optimal Content,-0.3333333333333334,0.3333333333333334,-0.6666666666666669,-0.18257418583505539,0.3333333333333334,0.6666666666666669,0.0,1.0,0.6666666666666669,0.6666666666666669,0.0
Optimal Ionic Conductivity,0.0,0.6666666666666669,-0.3333333333333334,0.18257418583505539,0.0,1.0,0.3333333333333334,0.6666666666666669,1.0,1.0,0.3333333333333334
R2_LOOCV,0.0,0.6666666666666669,-0.3333333333333334,0.18257418583505539,0.0,1.0,0.3333333333333334,0.6666666666666669,1.0,1.0,0.3333333333333334
RMSE_LOOCV,0.0,0.6666666666666669,-0.3333333333333334,0.912870929175277,0.6666666666666669,0.3333333333333334,-0.3333333333333334,0.0,0.3333333333333334,0.3333333333333334,1.0
