Left-out diluent,Feature,Mean Absolute SHAP
FBn,LUMO energy,0.24392775777313444
FBn,HOMO energy,0.13512135462628472
FBn,HOMO/LUMO gap,0.0402617822918627
FBn,dielectric constant,0.16148636283146012
FBn,molecular weight,0.35569135430786347
FBn,viscosity coefficient,0.10503757662243313
FBn,dipole moment,0.008015666570928361
dFBn,LUMO energy,0.11258338557349312
dFBn,HOMO energy,0.06057260682185491
dFBn,HOMO/LUMO gap,0.033655250651968845
dFBn,dielectric constant,0.10596804238027996
dFBn,molecular weight,0.36400740428103345
dFBn,viscosity coefficient,0.3771700511376063
dFBn,dipole moment,0.024909595648447674
tFBn,LUMO energy,0.05279285377926297
tFBn,HOMO energy,0.04582150156299273
tFBn,HOMO/LUMO gap,0.26348665604988736
tFBn,dielectric constant,0.03309059018890063
tFBn,molecular weight,0.29511816054582596
tFBn,viscosity coefficient,0.03804848177565468
tFBn,dipole moment,0.09003966798384984
hFBn,LUMO energy,0.1304335639708572
hFBn,HOMO energy,0.0807277945180734
hFBn,HOMO/LUMO gap,0.16472154607375464
hFBn,dielectric constant,0.016467255850632984
hFBn,molecular weight,0.026858596752087276
hFBn,viscosity coefficient,0.0373447404967414
hFBn,dipole moment,0.059320677485730916
