,viscosity coefficient,dielectric constant,molecular weight,dipole moment,HOMO energy,LUMO energy,HOMO/LUMO gap,Optimal Content,Optimal Ionic Conductivity,R2_LOOCV,RMSE_LOOCV
viscosity coefficient,1.0,0.4,0.8,0.31622776601683794,-0.4,0.0,0.2,-0.6,0.0,0.0,0.2
dielectric constant,0.4,1.0,-0.2,0.6324555320336759,0.4,0.8,0.0,0.4,0.8,0.8,0.8
molecular weight,0.8,-0.2,1.0,-0.21081851067789195,-0.8,-0.4,0.4,-0.8,-0.4,-0.4,-0.4
dipole moment,0.31622776601683794,0.6324555320336759,-0.21081851067789195,1.0,0.7378647873726218,0.10540925533894598,-0.7378647873726218,-0.10540925533894598,0.10540925533894598,0.10540925533894598,0.9486832980505138
HOMO energy,-0.4,0.4,-0.8,0.7378647873726218,1.0,0.2,-0.8,0.4,0.2,0.2,0.8
LUMO energy,0.0,0.8,-0.4,0.10540925533894598,0.2,1.0,0.4,0.8,1.0,1.0,0.4
HOMO/LUMO gap,0.2,0.0,0.4,-0.7378647873726218,-0.8,0.4,1.0,0.2,0.4,0.4,-0.6
Optimal Content,-0.6,0.4,-0.8,-0.10540925533894598,0.4,0.8,0.2,1.0,0.8,0.8,0.2
Optimal Ionic Conductivity,0.0,0.8,-0.4,0.10540925533894598,0.2,1.0,0.4,0.8,1.0,1.0,0.4
R2_LOOCV,0.0,0.8,-0.4,0.10540925533894598,0.2,1.0,0.4,0.8,1.0,1.0,0.4
RMSE_LOOCV,0.2,0.8,-0.4,0.9486832980505138,0.8,0.4,-0.6,0.2,0.4,0.4,1.0
